time,open,high,low,close,volume
2010-09-27,13.57,13.97,13.52,13.67,813100
2010-09-28,13.97,14.12,13.62,13.82,935300
2010-09-29,13.87,13.87,13.01,13.26,1029900
2010-09-30,12.91,13.16,12.86,13.01,1039400
2010-10-01,13.11,13.21,12.76,12.91,722300
2010-10-04,12.91,12.91,12.05,12.15,1892000
2010-10-05,11.9,12.5,11.64,12.0,1148300
2010-10-06,12.56,12.81,12.3,12.6,1134100
2010-10-07,13.11,13.42,12.6,12.96,1503500
2010-10-08,12.91,13.01,12.45,12.71,913300
2010-10-11,12.71,12.71,12.25,12.45,570300
2010-10-12,12.66,12.66,12.1,12.25,1048500
2010-10-13,12.25,12.4,12.0,12.25,734900
2010-10-14,12.4,12.71,12.2,12.35,642400
2010-10-15,12.3,12.35,12.2,12.25,420900
2010-10-18,12.25,12.4,12.1,12.2,427900
2010-10-19,12.15,12.2,11.49,11.8,1093100
2010-10-20,11.8,11.8,10.98,11.14,1844100
2010-10-21,11.14,11.74,11.14,11.34,1072100
2010-10-22,11.39,11.39,10.98,11.19,606800
2010-10-25,11.14,11.74,11.04,11.34,1059200
2010-10-26,11.64,12.1,11.49,12.05,1408000
2010-10-27,12.66,12.66,11.59,11.9,837900
2010-10-28,11.64,11.85,11.44,11.59,561400
2010-10-29,11.64,11.95,11.54,11.69,1087400
2010-11-01,11.69,11.69,11.44,11.54,561000
2010-11-02,11.64,11.74,11.29,11.39,815100
2010-11-03,11.39,11.44,11.09,11.19,701500
2010-11-04,11.24,11.49,11.24,11.39,530200
2010-11-05,11.54,12.0,11.54,11.8,1287800
2010-11-08,11.9,12.0,11.44,11.59,591600
2010-11-09,11.49,11.49,11.14,11.24,889400
2010-11-10,11.39,11.39,11.09,11.19,511700
2010-11-11,11.19,11.29,10.94,11.04,799300
2010-11-12,11.04,11.04,10.28,10.53,1648800
2010-11-15,10.63,10.83,10.12,10.38,792400
2010-11-16,10.48,10.48,9.97,10.07,776400
2010-11-17,10.12,10.43,10.02,10.28,842100
2010-11-18,10.43,10.98,10.43,10.78,1041200
2010-11-19,10.98,11.04,10.53,10.73,805400
2010-11-22,10.53,10.53,10.18,10.33,650900
2010-11-23,10.38,10.78,10.38,10.58,661000
2010-11-24,10.38,10.88,10.33,10.63,1155400
2010-11-25,10.73,11.34,10.63,11.19,1575500
2010-11-26,11.24,11.85,11.24,11.49,1191500
2010-11-29,11.39,12.25,11.14,11.85,1736400
2010-11-30,12.25,12.66,12.15,12.66,1604300
2010-12-01,13.16,13.16,12.1,12.66,1675100
2010-12-02,12.66,13.52,12.1,13.16,3332400
2010-12-03,13.67,14.07,13.67,14.07,2062900
2010-12-06,14.68,14.78,13.72,14.07,2188900
2010-12-07,14.18,14.18,13.11,13.36,2417100
2010-12-08,12.81,13.36,12.45,12.6,2191200
2010-12-09,12.45,13.16,12.15,12.71,1779200
2010-12-10,13.06,13.57,12.91,13.36,1103400
2010-12-13,14.07,14.28,14.07,14.28,1243600
2010-12-14,14.68,14.68,13.31,13.72,2224500
2010-12-15,14.18,14.18,13.06,13.47,1529400
2010-12-16,13.26,13.26,12.6,12.81,1529800
2010-12-17,12.81,13.67,12.76,13.47,1920100
2010-12-20,13.82,13.87,13.26,13.57,1297000
2010-12-21,13.21,13.52,12.76,13.11,801100
2010-12-22,13.67,13.67,12.76,13.11,847800
2010-12-23,12.81,13.01,12.4,12.66,945400
2010-12-24,12.66,12.91,12.5,12.66,577200
2010-12-27,12.71,12.76,12.15,12.3,695800
2010-12-28,12.4,12.91,11.9,12.56,1402400
2010-12-29,12.5,12.71,12.1,12.3,3188100
2010-12-30,12.25,12.96,12.2,12.6,2689500
2010-12-31,12.66,12.66,12.35,12.5,754400
2011-01-04,12.66,12.81,12.56,12.71,1040600
2011-01-05,12.56,12.66,12.15,12.3,1018500
2011-01-06,12.15,12.35,12.05,12.15,1232500
2011-01-07,12.35,12.4,12.1,12.2,995900
2011-01-10,12.1,12.15,11.54,11.69,1393200
2011-01-11,11.59,11.59,11.14,11.34,1483000
2011-01-12,11.34,11.8,11.34,11.59,1271300
2011-01-13,11.64,12.0,11.54,11.8,729900
2011-01-14,11.74,11.85,11.59,11.8,627500
2011-01-17,11.85,12.3,11.8,12.0,1004400
2011-01-18,11.9,12.05,11.59,11.8,1025900
2011-01-19,11.74,11.85,11.54,11.69,816700
2011-01-20,11.69,11.85,11.54,11.64,892800
2011-01-21,11.59,11.85,11.54,11.69,665100
2011-01-24,11.69,11.85,11.39,11.59,779600
2011-01-25,11.39,11.49,11.24,11.39,767000
2011-01-26,11.54,11.59,11.44,11.49,400000
2011-01-27,11.49,11.8,11.49,11.64,784000
2011-01-28,11.9,11.9,11.64,11.8,760700
2011-02-08,11.85,11.85,11.64,11.69,266700
2011-02-09,11.69,12.4,11.69,12.05,1576200
2011-02-10,12.0,12.0,11.8,11.9,679400
2011-02-11,11.9,12.0,11.8,11.9,770700
2011-02-14,12.0,12.3,11.9,12.15,1640900
2011-02-15,12.1,12.15,11.9,12.0,1002400
2011-02-16,12.0,12.2,11.69,11.95,1095100
2011-02-17,11.74,11.74,11.44,11.64,954100
2011-02-18,11.44,11.64,11.19,11.39,1326900
2011-02-21,11.14,11.19,10.63,10.68,1667700
2011-02-22,10.12,10.48,10.07,10.23,1923800
2011-02-23,10.23,10.58,10.23,10.43,1122200
2011-02-24,10.38,10.53,10.02,10.28,1946500
2011-02-25,10.43,10.73,10.33,10.53,965000
2011-02-28,10.63,10.78,10.33,10.53,870300
2011-03-01,10.02,10.53,10.02,10.28,629600
2011-03-02,10.18,10.18,9.57,9.72,2073000
2011-03-03,9.11,9.72,9.11,9.36,1188400
2011-03-04,9.36,9.52,9.21,9.36,1164900
2011-03-07,9.42,9.52,9.32,9.42,697900
2011-03-08,9.42,9.42,9.16,9.32,779200
2011-03-09,9.26,9.26,8.71,8.76,1375400
2011-03-10,8.71,9.36,8.71,9.26,1161200
2011-03-11,9.62,9.87,9.62,9.87,556800
2011-03-14,10.43,10.53,9.42,9.87,2012400
2011-03-15,9.57,9.87,9.26,9.67,1342000
2011-03-16,9.62,10.33,9.62,10.12,2756700
2011-03-17,10.73,10.83,10.48,10.83,3322100
2011-03-18,11.34,11.54,10.83,11.34,3655700
2011-03-21,11.54,12.1,11.54,12.05,3253600
2011-03-22,11.9,11.9,11.24,11.44,2386400
2011-03-23,10.94,11.64,10.94,11.34,1868800
2011-03-24,11.64,11.64,11.14,11.34,1161400
2011-03-25,11.34,11.34,10.88,11.14,1939800
2011-03-28,11.39,11.8,11.29,11.49,994600
2011-03-29,11.39,11.39,10.98,11.09,1312500
2011-03-30,10.73,10.94,10.43,10.73,917300
2011-03-31,10.73,10.98,10.63,10.73,927500
2011-04-01,10.68,10.73,10.28,10.43,936000
2011-04-04,10.28,10.38,9.97,10.07,877500
2011-04-05,10.07,10.38,10.02,10.18,977600
